# Captured from a saved game; snow-clearing selection area was not copied.
ROOM id=room_defense_active_turrets purpose=active turret defense priority=2
BUILD Sandbags 10 6 0 Cloth
BUILD Sandbags 11 8 0 Cloth
BUILD Sandbags 10 10 0 Cloth
BUILD Sandbags 11 10 0 Cloth
BUILD Sandbags 12 10 0 Cloth
BUILD Sandbags 10 11 0 Cloth
BUILD Sandbags 10 12 0 Cloth
BUILD Sandbags 8 11 0 Cloth
BUILD Sandbags 5 11 0 Cloth
BUILD Sandbags 4 8 0 Cloth
BUILD Sandbags 5 8 0 Cloth
BUILD Sandbags 8 8 0 Cloth
BUILD Sandbags 9 8 0 Cloth
BUILD Sandbags 4 5 0 Cloth
BUILD Sandbags 5 5 0 Cloth
BUILD Sandbags 6 5 0 Cloth
BUILD Sandbags 7 5 0 Cloth
BUILD Sandbags 8 5 0 Cloth
BUILD Sandbags 9 5 0 Cloth
BUILD Sandbags 3 6 0 Cloth
BUILD Sandbags 13 6 0 Cloth
BUILD Sandbags 13 7 0 Cloth
BUILD Sandbags 6 8 0 Cloth
BUILD Sandbags 7 8 0 Cloth
BUILD Sandbags 10 7 0 Cloth
BUILD FirefoamPopper 6 9 0 -
BUILD FirefoamPopper 6 4 0 -
BUILD FirefoamPopper 3 9 0 -
BUILD FirefoamPopper 3 4 0 -
BUILD FirefoamPopper 10 9 0 -
BUILD FirefoamPopper 10 4 0 -
BUILD FirefoamPopper 7 9 0 -
BUILD FirefoamPopper 7 4 0 -
BUILD Turret_Sniper 11 11 0 -
BUILD Turret_Sniper 11 1 0 -
BUILD Turret_Sniper 1 1 0 -
BUILD Turret_Sniper 1 11 0 -
BUILD Turret_RocketswarmLauncher 8 6 0 -
BUILD Turret_RocketswarmLauncher 4 6 0 -
BUILD Turret_RocketswarmLauncher 6 6 0 -
BUILD Turret_MiniTurret 5 12 0 Steel
BUILD Turret_MiniTurret 8 12 0 Steel
BUILD Turret_MiniTurret 1 8 0 Steel
BUILD Turret_MiniTurret 1 5 0 Steel
BUILD Turret_MiniTurret 5 1 0 Steel
BUILD Turret_MiniTurret 8 1 0 Steel
BUILD Turret_MiniTurret 12 8 0 Steel
BUILD Turret_MiniTurret 12 5 0 Steel
BUILD Sandbags 1 7 0 Cloth
BUILD Sandbags 1 9 0 Cloth
BUILD Sandbags 1 4 0 Cloth
BUILD Sandbags 1 6 0 Cloth
BUILD Sandbags 12 9 0 Cloth
BUILD Sandbags 12 7 0 Cloth
BUILD Sandbags 12 6 0 Cloth
BUILD Sandbags 12 4 0 Cloth
BUILD Sandbags 4 1 0 Cloth
BUILD Sandbags 6 1 0 Cloth
BUILD Sandbags 7 1 0 Cloth
BUILD Sandbags 9 1 0 Cloth
BUILD Sandbags 4 12 0 Cloth
BUILD Sandbags 6 12 0 Cloth
BUILD Sandbags 7 12 0 Cloth
BUILD Sandbags 9 12 0 Cloth
FLOOR_HASH 34465 0 0
FLOOR_HASH 34465 1 0
FLOOR_HASH 34465 2 0
FLOOR_HASH 34465 3 0
FLOOR_HASH 34465 4 0
FLOOR_HASH 34465 5 0
FLOOR_HASH 34465 6 0
FLOOR_HASH 34465 7 0
FLOOR_HASH 34465 8 0
FLOOR_HASH 34465 9 0
FLOOR_HASH 34465 10 0
FLOOR_HASH 34465 11 0
FLOOR_HASH 34465 12 0
FLOOR_HASH 34465 13 0
FLOOR_HASH 34465 0 1
FLOOR_HASH 8962 1 1
FLOOR_HASH 8962 2 1
FLOOR_HASH 8962 3 1
FLOOR_HASH 8962 4 1
FLOOR_HASH 8962 5 1
FLOOR_HASH 8962 6 1
FLOOR_HASH 8962 7 1
FLOOR_HASH 8962 8 1
FLOOR_HASH 8962 9 1
FLOOR_HASH 8962 10 1
FLOOR_HASH 8962 11 1
FLOOR_HASH 8962 12 1
FLOOR_HASH 34465 13 1
FLOOR_HASH 34465 0 2
FLOOR_HASH 8962 1 2
FLOOR_HASH 8962 2 2
FLOOR_HASH 8962 3 2
FLOOR_HASH 8962 4 2
FLOOR_HASH 8962 5 2
FLOOR_HASH 8962 6 2
FLOOR_HASH 8962 7 2
FLOOR_HASH 8962 8 2
FLOOR_HASH 8962 9 2
FLOOR_HASH 8962 10 2
FLOOR_HASH 8962 11 2
FLOOR_HASH 8962 12 2
FLOOR_HASH 34465 13 2
FLOOR_HASH 34465 0 3
FLOOR_HASH 8962 1 3
FLOOR_HASH 8962 2 3
FLOOR_HASH 8962 3 3
FLOOR_HASH 8962 4 3
FLOOR_HASH 8962 5 3
FLOOR_HASH 8962 6 3
FLOOR_HASH 8962 7 3
FLOOR_HASH 8962 8 3
FLOOR_HASH 8962 9 3
FLOOR_HASH 8962 10 3
FLOOR_HASH 8962 11 3
FLOOR_HASH 8962 12 3
FLOOR_HASH 34465 13 3
FLOOR_HASH 34465 0 4
FLOOR_HASH 8962 1 4
FLOOR_HASH 8962 2 4
FLOOR_HASH 8962 3 4
FLOOR_HASH 8962 4 4
FLOOR_HASH 8962 5 4
FLOOR_HASH 8962 6 4
FLOOR_HASH 8962 7 4
FLOOR_HASH 8962 8 4
FLOOR_HASH 8962 9 4
FLOOR_HASH 8962 10 4
FLOOR_HASH 8962 11 4
FLOOR_HASH 8962 12 4
FLOOR_HASH 34465 13 4
FLOOR_HASH 34465 0 5
FLOOR_HASH 8962 1 5
FLOOR_HASH 8962 2 5
FLOOR_HASH 8962 3 5
FLOOR_HASH 8962 4 5
FLOOR_HASH 8962 5 5
FLOOR_HASH 8962 6 5
FLOOR_HASH 8962 7 5
FLOOR_HASH 8962 8 5
FLOOR_HASH 8962 9 5
FLOOR_HASH 8962 10 5
FLOOR_HASH 8962 11 5
FLOOR_HASH 8962 12 5
FLOOR_HASH 34465 13 5
FLOOR_HASH 34465 0 6
FLOOR_HASH 8962 1 6
FLOOR_HASH 8962 2 6
FLOOR_HASH 8962 3 6
FLOOR_HASH 8962 4 6
FLOOR_HASH 8962 5 6
FLOOR_HASH 8962 6 6
FLOOR_HASH 8962 7 6
FLOOR_HASH 8962 8 6
FLOOR_HASH 8962 9 6
FLOOR_HASH 8962 10 6
FLOOR_HASH 8962 11 6
FLOOR_HASH 8962 12 6
FLOOR_HASH 34465 13 6
FLOOR_HASH 34465 0 7
FLOOR_HASH 8962 1 7
FLOOR_HASH 8962 2 7
FLOOR_HASH 8962 3 7
FLOOR_HASH 8962 4 7
FLOOR_HASH 8962 5 7
FLOOR_HASH 8962 6 7
FLOOR_HASH 8962 7 7
FLOOR_HASH 8962 8 7
FLOOR_HASH 8962 9 7
FLOOR_HASH 8962 10 7
FLOOR_HASH 8962 11 7
FLOOR_HASH 8962 12 7
FLOOR_HASH 34465 13 7
FLOOR_HASH 34465 0 8
FLOOR_HASH 8962 1 8
FLOOR_HASH 8962 2 8
FLOOR_HASH 8962 3 8
FLOOR_HASH 8962 4 8
FLOOR_HASH 8962 5 8
FLOOR_HASH 8962 6 8
FLOOR_HASH 8962 7 8
FLOOR_HASH 8962 8 8
FLOOR_HASH 8962 9 8
FLOOR_HASH 8962 10 8
FLOOR_HASH 8962 11 8
FLOOR_HASH 8962 12 8
FLOOR_HASH 34465 13 8
FLOOR_HASH 34465 0 9
FLOOR_HASH 8962 1 9
FLOOR_HASH 8962 2 9
FLOOR_HASH 8962 3 9
FLOOR_HASH 8962 4 9
FLOOR_HASH 8962 5 9
FLOOR_HASH 8962 6 9
FLOOR_HASH 8962 7 9
FLOOR_HASH 8962 8 9
FLOOR_HASH 8962 9 9
FLOOR_HASH 8962 10 9
FLOOR_HASH 8962 11 9
FLOOR_HASH 8962 12 9
FLOOR_HASH 34465 13 9
FLOOR_HASH 34465 0 10
FLOOR_HASH 8962 1 10
FLOOR_HASH 8962 2 10
FLOOR_HASH 8962 3 10
FLOOR_HASH 8962 4 10
FLOOR_HASH 8962 5 10
FLOOR_HASH 8962 6 10
FLOOR_HASH 8962 7 10
FLOOR_HASH 8962 8 10
FLOOR_HASH 8962 9 10
FLOOR_HASH 8962 10 10
FLOOR_HASH 8962 11 10
FLOOR_HASH 8962 12 10
FLOOR_HASH 34465 13 10
FLOOR_HASH 34465 0 11
FLOOR_HASH 8962 1 11
FLOOR_HASH 8962 2 11
FLOOR_HASH 8962 3 11
FLOOR_HASH 8962 4 11
FLOOR_HASH 8962 5 11
FLOOR_HASH 8962 6 11
FLOOR_HASH 8962 7 11
FLOOR_HASH 8962 8 11
FLOOR_HASH 8962 9 11
FLOOR_HASH 8962 10 11
FLOOR_HASH 8962 11 11
FLOOR_HASH 8962 12 11
FLOOR_HASH 34465 13 11
FLOOR_HASH 34465 0 12
FLOOR_HASH 8962 1 12
FLOOR_HASH 8962 2 12
FLOOR_HASH 8962 3 12
FLOOR_HASH 8962 4 12
FLOOR_HASH 8962 5 12
FLOOR_HASH 8962 6 12
FLOOR_HASH 8962 7 12
FLOOR_HASH 8962 8 12
FLOOR_HASH 8962 9 12
FLOOR_HASH 8962 10 12
FLOOR_HASH 8962 11 12
FLOOR_HASH 8962 12 12
FLOOR_HASH 34465 13 12
FLOOR_HASH 34465 0 13
FLOOR_HASH 34465 1 13
FLOOR_HASH 34465 2 13
FLOOR_HASH 34465 3 13
FLOOR_HASH 34465 4 13
FLOOR_HASH 34465 5 13
FLOOR_HASH 34465 6 13
FLOOR_HASH 34465 7 13
FLOOR_HASH 34465 8 13
FLOOR_HASH 34465 9 13
FLOOR_HASH 34465 10 13
FLOOR_HASH 34465 11 13
FLOOR_HASH 34465 12 13
FLOOR_HASH 34465 13 13
ZONE no_roof 0 0 13 13 - active_turret_area
END_ROOM
